time,inventory,backorders,warehouse_inventory,demand,pipeline,holding_cost,shortage_cost,ordering_cost,service_level,supplier_reliability,total_immediate_fulfilled,total_backorder_fulfilled,cumulative_total_cost,safety_stock,in_transit,inventory_age_days,demand_std_7d,inventory_turnover_ratio,supplier_reliability_30d,supplier_production
24,501.8181818,30.36363636,-118.1818182,200,"[{'created': 5, 'arrives': 6, 'quantity': 29}]",0,0,0,250.9090909,0.932620767,0,0,0,0,0,0,0,0,0,0
25,521.2727273,31.93636364,-144.7272727,205,"[{'created': 5, 'arrives': 7, 'quantity': 46}]",0,0,0,260.6363636,0.921085628,0,0,0,0,0,0,0,0,0,0
26,540.7272727,33.50909091,-171.2727273,210,"[{'created': 1, 'arrives': 9, 'quantity': 20}]",0,0,0,270.3636364,0.668418122,0,0,59,0,0,0,0,0,0,0
27,560.1818182,35.08181818,-197.8181818,215,"[{'created': 3, 'arrives': 7, 'quantity': 36}]",0,0,0,280.0909091,0.136958145,0,0,122,0,0,0,0,0,0,0
28,579.6363636,36.65454545,-224.3636364,220,"[{'created': 3, 'arrives': 6, 'quantity': 42}]",0,0,0,289.8181818,0.376530329,0,0,179,0,0,0,0,0,0,0
29,599.0909091,38.22727273,-250.9090909,225,"[{'created': 2, 'arrives': 7, 'quantity': 17}]",0,0,0,299.5454545,0.934972223,0,0,264,0,0,0,0,0,0,0
30,618.5454545,39.8,-277.4545455,230,"[{'created': 2, 'arrives': 6, 'quantity': 22}]",0,0,0,309.2727273,0.891919582,0,0,289,0,0,0,0,0,0,0
31,638,41.37272727,-304,235,"[{'created': 2, 'arrives': 8, 'quantity': 19}]",0,0,0,319,0.525759036,0,0,315,0,0,0,0,0,0,0
32,657.4545455,42.94545455,-330.5454545,240,"[{'created': 1, 'arrives': 9, 'quantity': 13}]",0,0,0,328.7272727,0.801944097,0,0,383,0,0,0,0,0,0,0
33,676.9090909,44.51818182,-357.0909091,245,"[{'created': 2, 'arrives': 9, 'quantity': 19}]",0,0,0,338.4545455,0.480269321,0,0,425,0,0,0,0,0,0,0
34,696.3636364,46.09090909,-383.6363636,250,"[{'created': 2, 'arrives': 10, 'quantity': 37}]",0,0,0,348.1818182,0.842718141,0,0,510,0,0,0,0,0,0,0
35,715.8181818,47.66363636,-410.1818182,255,"[{'created': 5, 'arrives': 6, 'quantity': 29}]",0,0,0,357.9090909,0.431829437,0,0,594,0,0,0,0,0,0,0
36,735.2727273,49.23636364,-436.7272727,260,"[{'created': 5, 'arrives': 7, 'quantity': 46}]",0,0,0,367.6363636,0.285993253,0,0,637,0,0,0,0,0,0,0
37,754.7272727,50.80909091,-463.2727273,265,"[{'created': 1, 'arrives': 9, 'quantity': 20}]",0,0,0,377.3636364,0.603471062,0,0,664,0,0,0,0,0,0,0
38,774.1818182,52.38181818,-489.8181818,270,"[{'created': 3, 'arrives': 7, 'quantity': 36}]",0,0,0,387.0909091,0.211272088,0,0,691,0,0,0,0,0,0,0
39,793.6363636,53.95454545,-516.3636364,275,"[{'created': 3, 'arrives': 6, 'quantity': 42}]",0,0,0,396.8181818,0.224277339,0,0,712,0,0,0,0,0,0,0
40,813.0909091,55.52727273,-542.9090909,280,"[{'created': 2, 'arrives': 7, 'quantity': 17}]",0,0,0,406.5454545,0.235888646,0,0,737,0,0,0,0,0,0,0
41,832.5454545,57.1,-569.4545455,285,"[{'created': 2, 'arrives': 6, 'quantity': 22}]",0,0,0,416.2727273,0.410019382,0,0,786,0,0,0,0,0,0,0
42,852,58.67272727,-596,290,"[{'created': 2, 'arrives': 8, 'quantity': 19}]",0,0,0,426,0.812214292,0,0,811,0,0,0,0,0,0,0
43,871.4545455,60.24545455,-622.5454545,295,"[{'created': 1, 'arrives': 9, 'quantity': 13}]",0,0,0,435.7272727,0.705431198,0,0,852,0,0,0,0,0,0,0
44,890.9090909,61.81818182,-649.0909091,300,"[{'created': 2, 'arrives': 9, 'quantity': 19}]",0,0,0,445.4545455,0.288299441,0,0,921,0,0,0,0,0,0,0
45,910.3636364,63.39090909,-675.6363636,305,"[{'created': 2, 'arrives': 10, 'quantity': 37}]",0,0,0,455.1818182,0.922485846,0,0,993,0,0,0,0,0,0,0
46,929.8181818,64.96363636,-702.1818182,310,"[{'created': 5, 'arrives': 6, 'quantity': 29}]",0,0,0,464.9090909,0.52612155,0,0,1075,0,0,0,0,0,0,0
47,949.2727273,66.53636364,-728.7272727,315,"[{'created': 5, 'arrives': 7, 'quantity': 46}]",0,0,0,474.6363636,0.34829212,0,0,1103,0,0,0,0,0,0,0
48,968.7272727,68.10909091,-755.2727273,320,"[{'created': 1, 'arrives': 9, 'quantity': 20}]",0,0,0,484.3636364,0.989233662,0,0,1189,0,0,0,0,0,0,0
49,988.1818182,69.68181818,-781.8181818,325,"[{'created': 3, 'arrives': 7, 'quantity': 36}]",0,0,0,494.0909091,0.917720522,0,0,1240,0,0,0,0,0,0,0
50,1007.636364,71.25454545,-808.3636364,330,"[{'created': 3, 'arrives': 6, 'quantity': 42}]",0,0,0,503.8181818,0.676645647,0,0,1297,0,0,0,0,0,0,0
51,1027.090909,72.82727273,-834.9090909,335,"[{'created': 2, 'arrives': 7, 'quantity': 17}]",0,0,0,513.5454545,0.688863179,0,0,1336,0,0,0,0,0,0,0
52,1046.545455,74.4,-861.4545455,340,"[{'created': 2, 'arrives': 6, 'quantity': 22}]",0,0,0,523.2727273,0.288361173,0,0,1407,0,0,0,0,0,0,0
53,1066,75.97272727,-888,345,"[{'created': 2, 'arrives': 8, 'quantity': 19}]",0,0,0,533,0.942279051,0,0,1452,0,0,0,0,0,0,0
54,1085.454545,77.54545455,-914.5454545,350,"[{'created': 1, 'arrives': 9, 'quantity': 13}]",0,0,0,542.7272727,0.779512756,0,0,1527,0,0,0,0,0,0,0
55,1104.909091,79.11818182,-941.0909091,355,"[{'created': 2, 'arrives': 9, 'quantity': 19}]",0,0,0,552.4545455,0.788717024,0,0,1580,0,0,0,0,0,0,0
56,1124.363636,80.69090909,-967.6363636,360,"[{'created': 2, 'arrives': 10, 'quantity': 37}]",0,0,0,562.1818182,0.838133828,0,0,1607,0,0,0,0,0,0,0
57,1143.818182,82.26363636,-994.1818182,365,"[{'created': 5, 'arrives': 6, 'quantity': 29}]",0,0,0,571.9090909,0.192919168,0,0,1641,0,0,0,0,0,0,0
58,1163.272727,83.83636364,-1020.727273,370,"[{'created': 5, 'arrives': 7, 'quantity': 46}]",0,0,0,581.6363636,0.364569184,0,0,1700,0,0,0,0,0,0,0
59,1182.727273,85.40909091,-1047.272727,375,"[{'created': 1, 'arrives': 9, 'quantity': 20}]",0,0,0,591.3636364,0.170788784,0,0,1749,0,0,0,0,0,0,0
60,1202.181818,86.98181818,-1073.818182,380,"[{'created': 3, 'arrives': 7, 'quantity': 36}]",0,0,0,601.0909091,0.312311811,0,0,1797,0,0,0,0,0,0,0
61,1221.636364,88.55454545,-1100.363636,385,"[{'created': 3, 'arrives': 6, 'quantity': 42}]",0,0,0,610.8181818,0.023596056,0,0,1852,0,0,0,0,0,0,0
62,1241.090909,90.12727273,-1126.909091,390,"[{'created': 2, 'arrives': 7, 'quantity': 17}]",0,0,0,620.5454545,0.794268745,0,0,1891,0,0,0,0,0,0,0
63,1260.545455,91.7,-1153.454545,395,"[{'created': 2, 'arrives': 6, 'quantity': 22}]",0,0,0,630.2727273,0.895815931,0,0,1951,0,0,0,0,0,0,0
64,1280,93.27272727,-1180,400,"[{'created': 2, 'arrives': 8, 'quantity': 19}]",0,0,0,640,0.780629012,0,0,2029,0,0,0,0,0,0,0
65,1299.454545,94.84545455,-1206.545455,405,"[{'created': 1, 'arrives': 9, 'quantity': 13}]",0,0,0,649.7272727,0.351967881,0,0,2077,0,0,0,0,0,0,0
66,1318.909091,96.41818182,-1233.090909,410,"[{'created': 2, 'arrives': 9, 'quantity': 19}]",0,0,0,659.4545455,0.804814236,0,0,2123,0,0,0,0,0,0,0
67,1338.363636,97.99090909,-1259.636364,415,"[{'created': 2, 'arrives': 10, 'quantity': 37}]",0,0,0,669.1818182,0.555438941,0,0,2147,0,0,0,0,0,0,0
68,1357.818182,99.56363636,-1286.181818,420,"[{'created': 5, 'arrives': 6, 'quantity': 29}]",0,0,0,678.9090909,0.056061846,0,0,2211,0,0,0,0,0,0,0
69,1377.272727,101.1363636,-1312.727273,425,"[{'created': 5, 'arrives': 7, 'quantity': 46}]",0,0,0,688.6363636,0.669933655,0,0,2299,0,0,0,0,0,0,0
70,1396.727273,102.7090909,-1339.272727,430,"[{'created': 1, 'arrives': 9, 'quantity': 20}]",0,0,0,698.3636364,0.000346268,0,0,2326,0,0,0,0,0,0,0
71,1416.181818,104.2818182,-1365.818182,435,"[{'created': 3, 'arrives': 7, 'quantity': 36}]",0,0,0,708.0909091,0.335790563,0,0,2376,0,0,0,0,0,0,0
72,1435.636364,105.8545455,-1392.363636,440,"[{'created': 3, 'arrives': 6, 'quantity': 42}]",0,0,0,717.8181818,0.362785194,0,0,2426,0,0,0,0,0,0,0
73,1455.090909,107.4272727,-1418.909091,445,"[{'created': 2, 'arrives': 7, 'quantity': 17}]",0,0,0,727.5454545,0.047813605,0,0,2461,0,0,0,0,0,0,0
74,1474.545455,109,-1445.454545,450,"[{'created': 2, 'arrives': 6, 'quantity': 22}]",0,0,0,737.2727273,0.934681895,0,0,2527,0,0,0,0,0,0,0
75,1494,110.5727273,-1472,455,"[{'created': 2, 'arrives': 8, 'quantity': 19}]",0,0,0,747,0.732700187,0,0,2600,0,0,0,0,0,0,0
76,1513.454545,112.1454545,-1498.545455,460,"[{'created': 1, 'arrives': 9, 'quantity': 13}]",0,0,0,756.7272727,0.515031446,0,0,2679,0,0,0,0,0,0,0
77,1532.909091,113.7181818,-1525.090909,465,"[{'created': 2, 'arrives': 9, 'quantity': 19}]",0,0,0,766.4545455,0.824474123,0,0,2708,0,0,0,0,0,0,0
78,1552.363636,115.2909091,-1551.636364,470,"[{'created': 2, 'arrives': 10, 'quantity': 37}]",0,0,0,776.1818182,0.907030051,0,0,2755,0,0,0,0,0,0,0
79,1571.818182,116.8636364,-1578.181818,475,"[{'created': 5, 'arrives': 6, 'quantity': 29}]",0,0,0,785.9090909,0.282461524,0,0,2799,0,0,0,0,0,0,0
80,1591.272727,118.4363636,-1604.727273,480,"[{'created': 5, 'arrives': 7, 'quantity': 46}]",0,0,0,795.6363636,0.22556066,0,0,2873,0,0,0,0,0,0,0
81,1610.727273,120.0090909,-1631.272727,485,"[{'created': 1, 'arrives': 9, 'quantity': 20}]",0,0,0,805.3636364,0.842205056,0,0,2941,0,0,0,0,0,0,0
82,1630.181818,121.5818182,-1657.818182,490,"[{'created': 3, 'arrives': 7, 'quantity': 36}]",0,0,0,815.0909091,0.366979297,0,0,3024,0,0,0,0,0,0,0
83,1649.636364,123.1545455,-1684.363636,495,"[{'created': 3, 'arrives': 6, 'quantity': 42}]",0,0,0,824.8181818,0.707629902,0,0,3087,0,0,0,0,0,0,0
84,1669.090909,124.7272727,-1710.909091,500,"[{'created': 2, 'arrives': 7, 'quantity': 17}]",0,0,0,834.5454545,0.530140703,0,0,3129,0,0,0,0,0,0,0
85,1688.545455,126.3,-1737.454545,505,"[{'created': 2, 'arrives': 6, 'quantity': 22}]",0,0,0,844.2727273,0.514093777,0,0,3171,0,0,0,0,0,0,0
86,1708,127.8727273,-1764,510,"[{'created': 2, 'arrives': 8, 'quantity': 19}]",0,0,0,854,0.923402366,0,0,3218,0,0,0,0,0,0,0
87,1727.454545,129.4454545,-1790.545455,515,"[{'created': 1, 'arrives': 9, 'quantity': 13}]",0,0,0,863.7272727,0.480413661,0,0,3303,0,0,0,0,0,0,0
88,1746.909091,131.0181818,-1817.090909,520,"[{'created': 2, 'arrives': 9, 'quantity': 19}]",0,0,0,873.4545455,0.069809241,0,0,3390,0,0,0,0,0,0,0
89,1766.363636,132.5909091,-1843.636364,525,"[{'created': 2, 'arrives': 10, 'quantity': 37}]",0,0,0,883.1818182,0.257420768,0,0,3460,0,0,0,0,0,0,0
90,1785.818182,134.1636364,-1870.181818,530,"[{'created': 5, 'arrives': 6, 'quantity': 29}]",0,0,0,892.9090909,0.057060407,0,0,3492,0,0,0,0,0,0,0
91,1805.272727,135.7363636,-1896.727273,535,"[{'created': 5, 'arrives': 7, 'quantity': 46}]",0,0,0,902.6363636,0.08553865,0,0,3570,0,0,0,0,0,0,0
92,1824.727273,137.3090909,-1923.272727,540,"[{'created': 1, 'arrives': 9, 'quantity': 20}]",0,0,0,912.3636364,0.341241867,0,0,3604,0,0,0,0,0,0,0
93,1844.181818,138.8818182,-1949.818182,545,"[{'created': 3, 'arrives': 7, 'quantity': 36}]",0,0,0,922.0909091,0.37737383,0,0,3677,0,0,0,0,0,0,0
94,1863.636364,140.4545455,-1976.363636,550,"[{'created': 3, 'arrives': 6, 'quantity': 42}]",0,0,0,931.8181818,0.60089599,0,0,3701,0,0,0,0,0,0,0
95,1883.090909,142.0272727,-2002.909091,555,"[{'created': 2, 'arrives': 7, 'quantity': 17}]",0,0,0,941.5454545,0.469578395,0,0,3732,0,0,0,0,0,0,0
96,1902.545455,143.6,-2029.454545,560,"[{'created': 2, 'arrives': 6, 'quantity': 22}]",0,0,0,951.2727273,0.531413438,0,0,3777,0,0,0,0,0,0,0
97,1922,145.1727273,-2056,565,"[{'created': 2, 'arrives': 8, 'quantity': 19}]",0,0,0,961,0.833037687,0,0,3848,0,0,0,0,0,0,0
98,1941.454545,146.7454545,-2082.545455,570,"[{'created': 1, 'arrives': 9, 'quantity': 13}]",0,0,0,970.7272727,0.795036125,0,0,3887,0,0,0,0,0,0,0
99,1960.909091,148.3181818,-2109.090909,575,"[{'created': 2, 'arrives': 9, 'quantity': 19}]",0,0,0,980.4545455,0.983634097,0,0,3958,0,0,0,0,0,0,0
100,1980.363636,149.8909091,-2135.636364,580,"[{'created': 2, 'arrives': 10, 'quantity': 37}]",0,0,0,990.1818182,0.975811599,0,0,4025,0,0,0,0,0,0,0
101,1999.818182,151.4636364,-2162.181818,585,"[{'created': 5, 'arrives': 6, 'quantity': 29}]",0,0,0,999.9090909,0.388216881,0,0,4100,0,0,0,0,0,0,0
102,2019.272727,153.0363636,-2188.727273,590,"[{'created': 5, 'arrives': 7, 'quantity': 46}]",0,0,0,1009.636364,0.365441662,0,0,4166,0,0,0,0,0,0,0
103,2038.727273,154.6090909,-2215.272727,595,"[{'created': 1, 'arrives': 9, 'quantity': 20}]",0,0,0,1019.363636,0.512657106,0,0,4247,0,0,0,0,0,0,0
104,2058.181818,156.1818182,-2241.818182,600,"[{'created': 3, 'arrives': 7, 'quantity': 36}]",0,0,0,1029.090909,0.711715336,0,0,4290,0,0,0,0,0,0,0
105,2077.636364,157.7545455,-2268.363636,605,"[{'created': 3, 'arrives': 6, 'quantity': 42}]",0,0,0,1038.818182,0.210295855,0,0,4372,0,0,0,0,0,0,0
106,2097.090909,159.3272727,-2294.909091,610,"[{'created': 2, 'arrives': 7, 'quantity': 17}]",0,0,0,1048.545455,0.686303644,0,0,4416,0,0,0,0,0,0,0
107,2116.545455,160.9,-2321.454545,615,"[{'created': 2, 'arrives': 6, 'quantity': 22}]",0,0,0,1058.272727,0.575278474,0,0,4456,0,0,0,0,0,0,0
108,2136,162.4727273,-2348,620,"[{'created': 2, 'arrives': 8, 'quantity': 19}]",0,0,0,1068,0.663351733,0,0,4509,0,0,0,0,0,0,0
109,2155.454545,164.0454545,-2374.545455,625,"[{'created': 1, 'arrives': 9, 'quantity': 13}]",0,0,0,1077.727273,0.086916325,0,0,4577,0,0,0,0,0,0,0
110,2174.909091,165.6181818,-2401.090909,630,"[{'created': 2, 'arrives': 9, 'quantity': 19}]",0,0,0,1087.454545,0.788725052,0,0,4618,0,0,0,0,0,0,0
